epoch,train_loss,val_loss,val_accuracy
1,,0.0877,0.9587
2,,0.0714,0.9692
3,,0.0633,0.9719
4,,0.0538,0.9771
5,,0.0559,0.9756
6,,0.0409,0.983
7,,0.0529,0.9803
8,,0.035,0.9859
9,,0.04,0.9839
10,,0.0523,0.9762
11,,0.0253,0.991
12,,0.0242,0.9916
13,,0.0235,0.9918
14,,0.0238,0.9904
15,,0.0249,0.9915
16,,0.0217,0.9923
17,,0.0215,0.9912
18,,0.0223,0.9919
19,,0.0212,0.9924
20,,0.0185,0.9928
21,,0.0163,0.9934
22,,0.0277,0.9901
23,,0.0183,0.9935
24,,0.0167,0.9941
25,,0.0201,0.9941
26,,0.0188,0.9936
27,,0.0206,0.9929
28,,0.0163,0.995
29,,0.0175,0.9945
30,,0.0175,0.9937
