epoch,train_loss,val_loss,val_accuracy
1,,0.3213,0.8804
2,,0.3227,0.8873
3,,0.2213,0.9176
4,,0.2069,0.9263
5,,0.2049,0.9268
6,,0.177,0.9321
7,,0.2011,0.9291
8,,0.1655,0.9394
9,,0.1447,0.9462
10,,0.1854,0.9348
11,,0.1248,0.9546
12,,0.1278,0.9529
13,,0.1483,0.9484
14,,0.1361,0.9513
15,,0.1255,0.9546
16,,0.1429,0.9517
17,,0.1239,0.9557
18,,0.1311,0.9542
19,,0.1129,0.9588
20,,0.1205,0.9564
21,,0.1105,0.9604
22,,0.1044,0.9632
23,,0.1083,0.9612
24,,0.1047,0.9609
25,,0.1167,0.9605
26,,0.105,0.9629
27,,0.1093,0.9608
28,,0.1079,0.9606
29,,0.1013,0.9638
30,,0.1114,0.9609
