epoch,train_loss,val_loss,val_accuracy
1,,0.088,0.9636
2,,0.0581,0.9739
3,,0.0424,0.9844
4,,0.0342,0.9885
5,,0.0778,0.9766
6,,0.0237,0.9898
7,,0.0201,0.9922
8,,0.0368,0.9881
9,,0.0216,0.9921
10,,0.018,0.9927
11,,0.0215,0.9932
12,,0.0189,0.9933
13,,0.02,0.9931
14,,0.0173,0.9931
15,,0.0182,0.9926
16,,0.0157,0.9936
17,,0.0138,0.9939
18,,0.0149,0.9943
19,,0.0147,0.9943
20,,0.0164,0.9937
21,,0.0118,0.9957
22,,0.0123,0.9953
23,,0.0121,0.9953
24,,0.0119,0.9948
25,,0.0123,0.9953
26,,0.0126,0.9952
27,,0.0122,0.9954
28,,0.0124,0.9953
29,,0.0127,0.9953
